customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_bucket,services_count,monthly_to_total_ratio,has_internet_no_support,fiber_no_security,expected_tenure,clv,clv_quartile,Churn
6017,1,0,0,0,18,1,0,2,1,1,1,1,1,1,1,0,3,20.1,401.85,1,1,0.05555555555555556,0,0,24,482.40000000000003,1,0
2845,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,2,96.2,639.7,3,5,0.14285714285714288,1,1,24,2308.8,3,0
984,1,0,0,0,52,1,2,1,2,0,2,2,2,2,2,1,2,109.3,5731.4,2,8,0.019230769230769232,0,0,24,2623.2,3,0
1920,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,2,1,0.021739130434782608,0,0,24,478.79999999999995,1,0
1696,1,1,1,0,40,1,2,1,2,0,0,0,2,2,0,0,2,101.85,4086.3,2,6,0.024999999999999998,1,0,24,2444.3999999999996,3,1
1009,1,0,1,0,10,1,2,1,0,0,2,0,2,2,0,1,2,98.5,1037.75,3,6,0.1,1,1,24,2364.0,3,1
1063,0,0,0,0,30,1,2,1,2,0,0,2,2,2,0,0,0,106.4,3211.9,2,7,0.03333333333333333,0,0,24,2553.6000000000004,3,0
5895,1,0,0,0,19,1,0,0,0,0,2,2,0,0,0,1,1,55.0,1046.5,1,4,0.05263157894736842,0,0,24,1320.0,2,1
3667,1,0,0,0,22,1,2,1,0,2,0,0,0,0,0,1,3,78.85,1600.25,1,4,0.045454545454545456,1,1,24,1892.3999999999999,0,0
6682,0,0,0,0,8,1,0,2,1,1,1,1,1,1,1,1,3,19.2,161.95,3,1,0.125,0,0,24,460.79999999999995,1,0
2372,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,89.55,6448.85,2,9,0.01388888888888889,0,0,24,2149.2,0,0
444,0,0,1,1,62,1,0,0,2,0,2,2,2,0,1,1,0,70.75,4263.45,2,6,0.016129032258064516,0,0,24,1698.0,0,0
2511,0,1,0,0,35,1,2,1,2,0,0,0,2,2,0,1,2,99.05,3554.6,2,6,0.02857142857142857,1,0,24,2377.2,3,0
2573,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,1,1,71.0,914.0,1,2,0.07142857142857142,1,1,24,1704.0,0,1
563,0,0,0,0,15,1,0,2,1,1,1,1,1,1,1,0,1,20.1,302.45,1,1,0.06666666666666667,0,0,24,482.40000000000003,1,0
498,1,0,1,0,9,1,0,1,0,2,2,0,0,0,0,1,2,79.9,741.7,3,4,0.11111111111111112,1,1,24,1917.6000000000001,0,1
2819,0,0,0,0,56,1,2,1,2,2,0,0,2,2,0,1,1,106.6,5893.95,2,7,0.017857142857142856,1,0,24,2558.3999999999996,3,0
5044,1,0,1,1,10,1,0,2,1,1,1,1,1,1,0,1,1,20.05,218.5,3,1,0.1,0,0,24,481.20000000000005,1,0
6482,0,0,0,1,50,1,0,1,0,0,0,0,0,0,2,0,1,70.35,3533.6,2,2,0.02,1,1,24,1688.3999999999999,2,0
5977,1,0,0,0,22,1,2,1,2,0,0,0,2,2,0,1,0,101.35,2317.1,1,6,0.045454545454545456,1,0,24,2432.3999999999996,3,1
111,0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,1,75.2,633.85,3,3,0.1111111111111111,1,1,24,1804.8000000000002,0,0
1212,1,0,1,1,28,1,0,1,0,0,2,0,2,0,0,0,2,85.45,2289.9,2,4,0.03571428571428572,1,1,24,2050.8,0,0
5448,1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,20.35,176.3,3,1,0.1,0,0,24,488.40000000000003,1,0
736,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.1,69.1,0,2,1.0,1,1,24,1658.3999999999999,2,1
373,1,0,0,0,58,1,0,0,0,2,2,2,2,0,2,0,0,70.1,4048.95,2,6,0.017241379310344827,0,0,24,1682.3999999999999,2,0
4495,0,0,1,0,62,1,0,1,2,0,2,2,2,2,1,1,2,104.3,6613.65,2,7,0.016129032258064516,0,0,24,2503.2,3,0
5972,1,1,0,0,5,1,0,1,0,0,0,0,2,2,0,1,2,91.4,449.75,0,4,0.2,1,1,24,2193.6000000000004,3,1
143,1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35,1444.65,1,5,0.06666666666666667,1,1,24,2240.3999999999996,3,1
1420,0,0,1,1,72,1,2,0,0,2,0,2,2,2,2,1,2,78.95,5730.15,2,7,0.013888888888888888,0,0,24,1894.8000000000002,0,0
